customer_id,full_name,email,phone,region_id,segment_id,signup_date,gender,created_at,updated_at
72,Hazem Ali,hazem.ali66@hotmail.com,01265766169,16.0,1,2022-09-25,male,2025-02-13 00:00:00,2026-06-27 19:47:47.739020
438,Salma Shaker,salma.shaker@gmail.com,01571324136,2.0,1,2022-10-03,female,2025-10-25 00:00:00,2026-06-27 19:47:47.743159
391,Fadi Mohamed,fadimohamed@hotmail.com,01150744867,1.0,2,2021-07-12,male,2023-11-09 00:00:00,2026-06-27 19:47:47.742588
210,Reem Fathy,reemfathy@hotmail.com,01166791272,13.0,2,2025-05-16,female,2024-06-29 00:00:00,2026-06-27 19:47:47.740566
98,Fadi Tawfik,faditawfik@yahoo.com,01165541117,11.0,1,2024-06-21,male,2024-08-30 00:00:00,2026-06-27 19:47:47.739311
274,Shahd El-Sayed,shahdelsayed@yahoo.com,01117188130,4.0,1,2022-02-17,female,2024-08-03 00:00:00,2026-06-27 19:47:47.741281
130,Amr Fathy,amr.fathy33@hotmail.com,01057928328,,1,2023-11-13,male,2022-09-14 00:00:00,2026-06-27 19:47:47.739672
2,Hussein Mostafa,hussein.mostafa@gmail.com,01539587039,15.0,1,2020-01-27,male,2021-10-15 00:00:00,2026-06-27 19:47:47.738229
6,Shahd Gaber,shahd.gaber69@yahoo.com,01131931511,15.0,1,2022-06-18,female,2023-08-21 00:00:00,2026-06-27 19:47:47.738283
169,Nada Khalil,nadakhalil@gmail.com,01286206305,7.0,1,2024-07-18,female,2024-10-17 00:00:00,2026-06-27 19:47:47.740105
273,Khaled Khalil,khaled.khalil@gmail.com,01531596235,3.0,1,2021-01-16,male,2023-10-16 00:00:00,2026-06-27 19:47:47.741270
41,Malak Mansour,malakmansour@outlook.com,01173709724,15.0,1,2022-10-09,female,2023-02-09 00:00:00,2026-06-27 19:47:47.738679
435,,mahmoud.gaber18@outlook.com,01597183615,12.0,1,2024-05-06,male,2025-07-05 00:00:00,2026-06-27 19:47:47.743076
445,Adel Khalil,adel.khalil@outlook.com,01541927492,,1,2025-05-02,male,2025-02-01 00:00:00,2026-06-27 19:47:47.743340
124,Ibrahim Mohamed,ibrahim.mohamed58@hotmail.com,01168716573,3.0,1,2022-06-28,male,2025-01-21 00:00:00,2026-06-27 19:47:47.739604
229,Dalia El-Masry,daliaelmasry@gmail.com,01218500100,18.0,1,2024-10-25,female,2022-05-17 00:00:00,2026-06-27 19:47:47.740777
128,Karim Rizk,karim.rizk@outlook.com,01590092958,18.0,2,2025-10-11,male,2022-09-17 00:00:00,2026-06-27 19:47:47.739647
318,Mariam Fathy,mariamfathy@gmail.com,01514809280,18.0,1,2021-01-07,female,2023-06-01 00:00:00,2026-06-27 19:47:47.741773
201,Tarek Abdallah,tarek.abdallah24@outlook.com,01521501669,10.0,1,2020-10-28,male,2020-12-02 00:00:00,2026-06-27 19:47:47.740465
275,Reem Abdel-Rahman,reemabdelrahman@gmail.com,01530614492,2.0,1,2024-10-17,female,2020-12-24 00:00:00,2026-06-27 19:47:47.741292
170,Sara Naguib,saranaguib@yahoo.com,01243292316,1.0,1,2022-08-22,female,2025-01-03 00:00:00,2026-06-27 19:47:47.740115
293,Hossam Mohamed,hossammohamed@hotmail.com,01245050544,10.0,1,2025-10-19,male,2022-09-11 00:00:00,2026-06-27 19:47:47.741496
488,Rania Khalil,rania.khalil84@hotmail.com,01571888947,8.0,1,2022-03-09,female,2025-10-30 00:00:00,2026-06-27 19:47:47.743828
336,Eman Soliman,eman.soliman38@gmail.com,01152991650,17.0,2,2021-01-28,female,2021-11-16 00:00:00,2026-06-27 19:47:47.741975
310,Nada Mostafa,nadamostafa@hotmail.com,01023396125,6.0,1,2023-04-05,female,2024-01-15 00:00:00,2026-06-27 19:47:47.741683
232,Bassem Khalil,bassem.khalil@hotmail.com,01299188862,6.0,2,2023-06-05,male,2022-08-17 00:00:00,2026-06-27 19:47:47.740811
327,Nagla Saleh,naglasaleh@gmail.com,01117122263,2.0,1,2021-10-21,female,2023-03-19 00:00:00,2026-06-27 19:47:47.741875
404,Hossam Tawfik,hossam.tawfik70@hotmail.com,01535471281,6.0,1,2023-08-18,male,2025-04-02 00:00:00,2026-06-27 19:47:47.742734
13,Mahmoud El-Din,mahmoudeldin@gmail.com,01081498611,5.0,1,2025-04-30,male,2021-11-07 00:00:00,2026-06-27 19:47:47.738367
207,Amr El-Masry,amrelmasry@outlook.com,01267796330,5.0,1,2022-04-02,male,2025-05-16 00:00:00,2026-06-27 19:47:47.740532
436,Aya Ahmed,aya.ahmed@gmail.com,01265437830,8.0,1,2022-04-10,female,2022-04-17 00:00:00,2026-06-27 19:47:47.743087
453,Samy Abdel-Rahman,samyabdelrahman@gmail.com,01210822924,4.0,1,2023-10-30,male,2024-06-10 00:00:00,2026-06-27 19:47:47.743435
