driver_id,driver_name,driver_phone,national_id,region_id,shift,vehicle_type,hire_date,rating_avg,on_time_rate,cancel_rate,completed_deliveries,is_active,created_at,updated_at
1,Tarek Farouk,01556324312,359436842801130,2,night,car,10/29/2022,3.901,0.855,0.015,6049,TRUE,10/29/2022 0:00,41:05.9
2,Bassem Abdel-Rahman,01071862210,382445653135239,14,evening,bike,3/22/2019,3.523,0.855,0.039,9102,TRUE,3/22/2019 0:00,41:05.9
3,Khaled El-Din,01155092789,333451979746901,10,evening,bike,2/14/2020,4.994,0.936,0.014,22075,TRUE,2/14/2020 0:00,41:05.9
4,Bassem Abdallah,01540317902,223334061807881,11,evening,bike,7/14/2019,3.568,0.844,0.061,15477,TRUE,7/14/2019 0:00,41:05.9
5,Hazem Abdel-Rahman,01236853878,345362193617429,17,evening,car,11/9/2023,4.52,0.893,0.04,8872,TRUE,11/9/2023 0:00,41:05.9
6,Hassan El-Din,01585982862,238237358134698,12,evening,motorbike,3/29/2024,3.682,0.758,0.01,5513,TRUE,3/29/2024 0:00,41:05.9
7,Khaled Mohamed,01296710377,243232744242109,13,morning,car,8/17/2023,3.64,0.744,0.018,5685,TRUE,8/17/2023 0:00,41:05.9
8,Walid Saleh,01228311409,249096243498411,18,morning,motorbike,6/1/2019,4.48,0.855,0.005,24866,TRUE,6/1/2019 0:00,41:05.9
9,Wael Mohamed,01558779318,229781943982927,8,morning,motorbike,9/18/2019,4.317,0.849,0.039,11548,TRUE,9/18/2019 0:00,41:05.9
10,Nabil Soliman,01052065222,392239313664514,13,night,motorbike,1/5/2020,4.609,0.826,0.077,10070,TRUE,1/5/2020 0:00,41:05.9
11,Mostafa Mansour,01225161415,369642259829314,16,night,motorbike,8/11/2025,3.848,0.77,0.023,1437,TRUE,8/11/2025 0:00,41:05.9
12,Tarek Abdel-Rahman,abc12345,399925058574447,12,night,bike,10/17/2025,3.637,0.913,0.07,1040,TRUE,10/17/2025 0:00,41:05.9
13,Amr Khalil,01168900892,348564656871503,3,evening,motorbike,8/22/2021,4.181,0.73,0.034,17755,TRUE,8/22/2021 0:00,41:05.9
14,Ziad Ibrahim,01590814633,335858458740794,15,night,bike,9/4/2024,3.669,0.923,0.036,4033,TRUE,9/4/2024 0:00,41:05.9
15,Hassan Mostafa,01552869025,328789344492893,9,morning,car,6/16/2020,4.577,0.871,0.07,17623,TRUE,6/16/2020 0:00,41:05.9
